SYMBOL,SERIES,TIMESTAMP,ISIN
DIXON,EQ,2022-10-13,INE039B01026
DLF,EQ,2022-10-13,INE059A01026
DLINKINDIA,EQ,2022-10-13,INE227W01023
DMART,EQ,2022-10-13,INE201M01029
DNAMEDIA,EQ,2022-10-13,INE492A01029
DODLA,EQ,2022-10-13,INE419D01026
DOLATALGO,EQ,2022-10-13,INE981B01011
DOLLAR,EQ,2022-10-13,INE925R01014
DONEAR,EQ,2022-10-13,INE522F01014
DPABHUSHAN,EQ,2022-10-13,INE377E01016
DPSCLTD,EQ,2022-10-13,INE704P01017
DPWIRES,EQ,2022-10-13,INE335K01011
DRCSYSTEMS,EQ,2022-10-13,INE591G01017
DREAMFOLKS,EQ,2022-10-13,INE259A01022
DREDGECORP,EQ,2022-10-13,INE070C01037
DRREDDY,EQ,2022-10-13,INE453B01029
DSSL,EQ,2022-10-13,INE111A01025
DTIL,EQ,2022-10-13,INE552D01024
DUCON,EQ,2022-10-13,INE025A01027
DVL,EQ,2022-10-13,INE663B01015
DWARKESH,EQ,2022-10-13,INE558D01021
DYCL,EQ,2022-10-13,INE792I01017
DYNAMATECH,EQ,2022-10-13,INE169A01031
DYNPRO,EQ,2022-10-13,INE757A01017
E2E,EQ,2022-10-13,INE695B01025
EASEMYTRIP,EQ,2022-10-13,INE00LO01017
EASTSILK,EQ,2022-10-13,INE985W01018
ECLERX,EQ,2022-10-13,INE230B01021
EDELWEISS,EQ,2022-10-13,INE741K01010
EICHERMOT,EQ,2022-10-13,INE559D01011
EIDPARRY,EQ,2022-10-13,INE007A01025
EIFFL,EQ,2022-10-13,INE299U01018
EIHAHOTELS,EQ,2022-10-13,INE491V01019
EIHOTEL,EQ,2022-10-13,INE679A01013
EIMCOELECO,EQ,2022-10-13,INE718F01018
EKC,EQ,2022-10-13,INE627H01017
ELDEHSG,EQ,2022-10-13,INE491A01021
ELECON,EQ,2022-10-13,INE144D01012
ELECTCAST,EQ,2022-10-13,INE298A01020
ELECTHERM,EQ,2022-10-13,INE509F01011
ELGIEQUIP,EQ,2022-10-13,INE278G01037
ELGIRUBCO,EQ,2022-10-13,INE214A01019
EMAMILTD,EQ,2022-10-13,INE136B01020
EMAMIPAP,EQ,2022-10-13,INE818H01020
EMAMIREAL,EQ,2022-10-13,INE016A01026
EMKAY,EQ,2022-10-13,INE00R701025
EMMBI,EQ,2022-10-13,INE495A01022
EMUDHRA,EQ,2022-10-13,INE497D01022
ENDURANCE,EQ,2022-10-13,INE688Y01022
ENERGYDEV,EQ,2022-10-13,INE365B01017
ENGINERSIN,EQ,2022-10-13,INE0IX101010
ENIL,EQ,2022-10-13,INE950I01011
EPL,EQ,2022-10-13,INE917M01012
EQUIPPP,EQ,2022-10-13,INE0I3401014
EQUITAS,EQ,2022-10-13,INE879I01012
EQUITASBNK,EQ,2022-10-13,INE921B01025
ERIS,EQ,2022-10-13,INE385W01011
EROSMEDIA,EQ,2022-10-13,INE503A01015
ESABINDIA,EQ,2022-10-13,INE498A01018
ESCORTS,BE,2022-10-13,INE891B01012
ESSARSHPNG,EQ,2022-10-13,INE08KP01019
ESSENTIA,EQ,2022-10-13,INE499A01024
ESTER,EQ,2022-10-13,INE843D01027
ETHOSLTD,EQ,2022-10-13,INE500A01029
EUROTEXIND,EQ,2022-10-13,INE583C01021
EVEREADY,EQ,2022-10-13,INE501A01019
EVERESTIND,EQ,2022-10-13,INE288B01029
EXCEL,EQ,2022-10-13,INE677H01012
EXCELINDUS,EQ,2022-10-13,INE0FHS01016
EXIDEIND,EQ,2022-10-13,INE148O01028
EXPLEOSOL,EQ,2022-10-13,INE726L01019
EXXARO,EQ,2022-10-13,INE124G01033
FACT,EQ,2022-10-13,INE393A01011
FAIRCHEMOR,EQ,2022-10-13,INE947J01015
FCL,EQ,2022-10-13,INE244A01016
FCONSUMER,EQ,2022-10-13,INE060X01018
FCSSOFT,EQ,2022-10-13,INE872J01023
FDC,EQ,2022-10-13,INE456C01020
FEDERALBNK,EQ,2022-10-13,INE03JI01017
FEL,EQ,2022-10-13,INE041A01016
FELDVR,EQ,2022-10-13,INE680A01011
FIBERWEB,EQ,2022-10-13,INE274G01010
FIEMIND,EQ,2022-10-13,INE435G01025
FILATEX,EQ,2022-10-13,INE505A01010
FINCABLES,BE,2022-10-13,INE988C01014
FINEORG,EQ,2022-10-13,INE506Z01015
FINOPB,EQ,2022-10-13,INE320L01011
FINPIPE,EQ,2022-10-13,INE393P01035
FLEXITUFF,EQ,2022-10-13,INE303A01010
FLFL,EQ,2022-10-13,INE927C01020
FLUOROCHEM,EQ,2022-10-13,INE411Y01011
FMGOETZE,EQ,2022-10-13,INE836F01026
FMNL,EQ,2022-10-13,INE361B01024
FOCUS,EQ,2022-10-13,INE935N01020
FOODSIN,EQ,2022-10-13,INE271C01023
FORCEMOT,EQ,2022-10-13,INE250K01012
FORTIS,EQ,2022-10-13,INE192R01011
FOSECOIND,EQ,2022-10-13,INE016M01021
FSC,EQ,2022-10-13,INE021O01019
FSL,EQ,2022-10-13,INE966A01022
GABRIEL,EQ,2022-10-13,INE325C01035
GAEL,EQ,2022-10-13,INE668D01028
GAIL,EQ,2022-10-13,INE266Y01019
GAL,EQ,2022-10-13,INE360C01024
GALAXYSURF,EQ,2022-10-13,INE864X01013
