SYMBOL,OPEN,LOW,HIGH,CLOSE,LAST,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,SERIES,TIMESTAMP,ISIN
BHANDARI,477.85,470,481.9,471.15,473,46226,21933188.45,3399,EQ,2022-10-13,INE073G01016
BHARATFORG,89.65,88.1,90,88.7,88.85,55666,4959924,1077,EQ,2022-10-13,INE348A01023
BHARATGEAR,165,160.25,165.25,161.45,160.5,25016,4051329.8,960,EQ,2022-10-13,INE365D01021
BHARATRAS,15.65,15.2,15.75,15.25,15.35,57621,887389.6,179,EQ,2022-10-13,INE440A01010
BHARATWIRE,76.5,75.1,77,75.95,75.95,294353,22359499.45,3243,EQ,2022-10-13,INE442H01029
BHARTIARTL,149.6,146.1,150.15,147.1,147.35,10774956,1590299683,51968,EQ,2022-10-13,INE208A01029
BHEL,71.75,71.25,72.8,71.5,71.5,26182,1875748.05,468,EQ,2022-10-13,INE276G01015
BIGBLOC,92.4,90.6,93.4,92.7,92.5,6637,610799,128,EQ,2022-10-13,INE363A01022
BIL,3230.1,3193.9,3258.2,3209,3206,779890,2507524872,74367,EQ,2022-10-13,INE021A01026
BINDALAGRO,57,56.3,58.3,57.1,57.2,205916,11778326.9,2162,EQ,2022-10-13,INE022I01019
BIOCON,242.75,234.6,245.95,235.85,237,6305,1497678.6,300,EQ,2022-10-13,INE991I01015
BIOFILCHEM,2110,2110,2264.45,2145.6,2159,495199,1076423643,32705,EQ,2022-10-13,INE563J01010
BIRLACABLE,237.2,232,241.5,237.75,236.45,507272,120003414.9,10434,EQ,2022-10-13,INE914M01019
BIRLACORPN,2197.95,2138.3,2197.95,2152.3,2153,289960,626986115.3,24152,EQ,2022-10-13,INE006I01046
BIRLAMONEY,303,295.6,306.15,301.2,300.9,184897,55574702.6,5052,EQ,2022-10-13,INE386C01029
BKMINDST,3079.8,2945.05,3089.85,2963.1,2965,6246,18749856.25,1853,EQ,2022-10-13,INE203A01020
BLBLIMITED,34.85,33.6,34.9,34.3,34.4,66524,2278403.8,643,EQ,2022-10-13,INE646X01014
BLISSGVS,721.9,712.85,728,718.1,715.25,1445,1042346.8,327,EQ,2022-10-13,INE209A01019
BLKASHYAP,3190,3151.25,3238,3177.35,3183.95,222741,712566730.6,14095,EQ,2022-10-13,INE399L01023
