SYMBOL,OPEN,LOW,HIGH,CLOSE,LAST
ARTEMISMED,2115,2071.1,2115,2083.35,2090
ARTNIRMAN,807,777,811.75,784.75,785.5
ARVEE,356.95,341.7,356.95,346.85,347.2
ARVIND,3188,3102,3211.85,3121.1,3122
ARVINDFASN,714.3,696,714.3,699,698
ARVSMART,69,65.75,69.75,68.9,67.9
ASAHIINDIA,886.1,875,897,878.8,875.35
ASAHISONG,17,15.5,17,15.6,15.5
ASAL,102.95,101.1,104.85,101.8,101.15
ASALCBR,82.45,81.15,83.75,81.6,81.9
ASHAPURMIN,272.8,268,272.85,268.75,269.5
ASHIANA,275.95,270,275.95,272,271.9
ASHIMASYN,959.9,931.5,959.9,950.3,951
ASHOKA,1201.65,1158,1215,1180.65,1176.7
ASHOKLEY,699.9,682.2,717,687.5,686
ASIANENE,324.9,322,330.2,325.7,325
ASIANHOTNR,96.3,96.25,99.35,97.8,97.05
ASIANPAINT,35.1,34.2,35.1,34.4,34.3
ASIANTILES,85.9,83.7,86.15,84.5,84.45
ASPINWALL,118.45,113.1,124,119.5,121.85
ASTEC,144.6,137.4,144.6,137.4,137.4
ASTERDM,430.45,418.05,430.45,422.85,420
ASTRAL,2550,2550,2628.05,2598.05,2600
ASTRAMICRO,18.2,17.45,18.2,17.75,17.8
ASTRAZEN,108.4,106.4,113.6,109.95,108.75
ASTRON,1259.95,1241,1270,1255.3,1259.8
ATFL,259.05,256.3,260.7,256.85,256.9
ATGL,8,7.75,8.15,7.9,7.95
ATLANTA,1.6,1.5,1.6,1.55,1.55
ATUL,36,34.05,36.55,36.55,36.55
ATULAUTO,61,58.4,61,59.7,59.7
AUBANK,47.15,47.15,50.7,47.15,47.15
AURIONPRO,344.8,330.95,348.9,335.95,336
AUROPHARMA,11.7,11.1,11.85,11.25,11.25
AURUM,2183.7,2105,2189.95,2113.25,2119
AUSOMENT,11.75,11.45,11.75,11.55,11.5
AUTOAXLES,561,552,568.95,559.05,557
AUTOIND,66.15,65.35,68.9,66.05,65.5
AVADHSUGAR,840.05,821,848.95,822.2,829.85
AVANTIFEED,106.25,103.3,109.15,104.7,104
AVROIND,3155,3102,3165,3125.55,3122.75
AVTNPL,2827.4,2824.95,2875,2845.2,2852
AWHCL,400,390.1,401.5,394.55,396.9
